Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
ALDX,"Aldeyra Therapeutics, Inc.",1.73,USD,819612,0.8471378817646008,1.73,USD,,Health technology,Biotechnology,1554419.7666666666,104355447.99999999,USD,92.5644,60321100,,-0.4552,USD,53.004336155275666,5.976878612716682,,,-0.135,USD,01438T106
ALGM,"Allegro MicroSystems, Inc.",48.95,USD,2539781,0.8776534719786004,48.95,USD,,Electronic technology,Semiconductors,2167205.7333333334,9069988550.059462,USD,66.8393,185291000,9.978556648979437,-0.0811,USD,79.04392764857882,4.978593316795589,0.17,USD,0.207802,USD,01749D105
ALHC,"Alignment Healthcare, Inc.",17.93,USD,3870044,0.7117021257031887,17.93,USD,196.1706783369803,Health services,Managed health care,4069404.066666667,3706737494.7764387,USD,88.0202,206734000,0.9136962261897151,0.0914,USD,,6.08302127320529,0.05,USD,0.129939,USD,01625V104
ALK,"Alaska Air Group, Inc.",40.84,USD,2201962,0.5940359808569275,40.84,USD,76.33644859813084,Transportation,Airlines,4707045.233333333,4627586860.547919,USD,99.21079999999999,113310000,0.3221214734064725,0.535,USD,-80.56241825316087,4.484171680425214,-1.68,USD,-0.903833,USD,011659109
ALKS,Alkermes plc,34.99,USD,2145519,1.046557979091269,34.99,USD,38.899388549194,Health technology,Pharmaceuticals: major,2411217.1,5831986905.228532,USD,98.16550000000001,166676000,3.765818600780899,0.8995,USD,-57.17074564327207,3.1128077409872126,-0.4,USD,-0.008598,USD,
ALKT,"Alkami Technology, Inc.",17.97,USD,1503884,0.7096506866706703,17.97,USD,,Technology services,Packaged software,1620870.8333333333,1923134566.2444062,USD,61.5859,107019000,3.929142964071859,-0.4756,USD,-27.712137486573578,4.9590587487082605,0.178614,USD,0.15118,USD,01644J108
ALLO,"Allogene Therapeutics, Inc.",2.28,USD,4474236,0.736145433868538,2.28,USD,,Health technology,Biotechnology,13251049.433333334,755313589.9030837,USD,62.52430000000001,331278000,,-0.8682,USD,34.97116320874841,5.968045112781929,-0.17,USD,-0.190122,USD,019770106
ALMU,"Aeluma, Inc.",24.41,USD,1218138,0.6089847774052848,24.41,USD,,Commercial services,Miscellaneous commercial services,1953720.4666666666,439451966.21985817,USD,68.8402,18002949,81.94814628593545,-0.1398,USD,69.4225721784777,12.556387897231748,-0.04,USD,-0.04,USD,00776X109
ALOY,REalloys Inc.,9.89,USD,1242717,0.6947918884394294,9.89,USD,,Non-energy minerals,Other metals/Minerals,1729536.0333333334,591725671.6732984,USD,92.18119999999999,59830700,16.92852005546156,-1.1462,USD,-11.259949524364211,8.390365448505097,,,-0.02,USD,75606V101
ALT,"Altimmune, Inc.",3.09,USD,2853602,0.4964211290434478,3.09,USD,,Health technology,Biotechnology,4492741.633333334,600557494.8157895,USD,91.69229999999999,194355000,7460.118329756107,-1.0155,USD,24.137158225011202,5.975496994914549,-0.27,USD,-0.24205,USD,02155H200
ALTO,"Alto Ingredients, Inc.",4.46,USD,2489311,1.165488853765763,4.46,USD,12.169167803547067,Process industries,Chemicals: specialty,1680843.6333333333,344729226.12334806,USD,87.21940000000001,77292600,0.37982053714411795,0.3665,USD,,8.734465086483025,0.05,USD,0.085,USD,021513106
ALXO,ALX Oncology Holdings Inc.,2.08,USD,998508,1.2828658672662663,2.08,USD,,Health technology,Biotechnology,1061506.4333333333,273745215.05882347,USD,80.55760000000001,131608000,,-1.8961,USD,27.21584584085065,7.892857142857092,-0.17,USD,-0.147702,USD,00166B105
AMAT,"Applied Materials, Inc.",435.44,USD,7764558,1.1883625062453802,435.44,USD,44.60195845454173,Producer manufacturing,Industrial machinery,5889165.966666667,345569491194.4612,USD,99.5739,793610000,11.629026724321259,9.7628,USD,27.716801193077018,3.2271101808350044,2.38,USD,2.679581,USD,038222105
AMC,"AMC Entertainment Holdings, Inc.",1.5,USD,18382645,0.6034040933022079,1.5,USD,,Consumer services,Movies/Entertainment,33741781.73333332,918104175,USD,99.06660000000001,612069000,0.16302104217178748,-1.0575,USD,-7.765209416080726,8.967619047618996,-0.22,USD,-0.05625,USD,00165C302
AMCR,Amcor plc,39.93,USD,3837501,0.7831951328481259,39.93,USD,27.517056026462683,Process industries,Containers/Packaging,4552481.033333338,18449483348.636272,USD,99.726,462046000,0.8344177745707096,1.4511,USD,-47.92018088504469,2.736962362706152,0.96,USD,1.185592,USD,
AMD,"Advanced Micro Devices, Inc.",455.19,USD,57170239,1.0683486586438782,455.19,USD,149.39446650694148,Electronic technology,Semiconductors,42752802.3,742233065185.8464,USD,99.5229,1630600000,17.994313023976108,3.0469,USD,123.34701656648583,4.342638709738163,1.37,USD,1.584284,USD,007903107
AMKR,"Amkor Technology, Inc.",76.61,USD,5310115,0.8021568821432431,76.61,USD,43.702224757558476,Electronic technology,Semiconductors,4577440.4,18989512324.644943,USD,24.397199999999998,247873000,2.5507213934112447,1.753,USD,37.40398181533154,5.6399295131183225,0.33,USD,0.471448,USD,031652100
